合計 191 秒
tape            次数   ε_remez     ε_量子化      ε_証明  2^-e   gmin      切捨誤差   信号積   定数積  深さ      秒
exp_f32          8  8.46e-14  1.88e-13  2.06e-13   -42  0.842  1.04e-11     6     5   4     38
log_f32         13  2.59e-12  2.91e-12  6.55e-12   -37  0.833  1.15e-11     9     7   4     84
sqrt_p0_f32     12  1.44e-12  1.82e-12  3.52e-12   -38  1.000  1.44e-11     8     7   4     63
sqrt_p1_f32     12  1.44e-12  1.82e-12  3.42e-12   -38  0.707  1.35e-11     8     7   4     65
rsqrt_p0_f32    14  9.63e-13  1.58e-12  2.78e-12   -38  0.705  5.77e-11     9     8   4     77
rsqrt_p1_f32    14  9.63e-13  1.01e-12  2.71e-12   -38  0.996  1.26e-11     9     8   4     82
sin_f32          5  4.65e-15  5.36e-14  5.36e-14   -44  0.900  6.72e-12     4     3   3     23
cos_f32          5  6.77e-14  2.28e-13  2.32e-13   -41  0.705  1.03e-11     4     3   3     20
exp_f64         12  3.30e-21  9.35e-21  1.36e-20   -65  0.842  6.19e-19     8     7   4     75
log_f64         22  2.09e-19  4.22e-19  7.69e-19   -60  0.835  8.52e-19    14    12   5    141
sqrt_p0_f64     21  8.33e-20  5.31e-19  5.87e-19   -60  1.000  1.12e-18    14    11   5    165
sqrt_p1_f64     21  8.33e-20  1.08e-19  1.52e-19   -62  0.707  1.00e-18    14    11   5    127
rsqrt_p0_f64    23  9.84e-20  1.63e-19  1.63e-19   -62  0.707  6.33e-18    15    12   5    191
rsqrt_p1_f64    23  9.84e-20  1.08e-19  1.31e-19   -62  1.000  9.31e-19    15    12   5    134
sin_f64          7  1.96e-21  1.14e-20  1.17e-20   -66  0.900  4.00e-19     5     4   3     32
cos_f64          7  3.74e-20  5.42e-20  5.51e-20   -63  0.705  6.14e-19     5     4   3     30
